,Formula,composition,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Has Bandstructure,Volume,Nsites,Theoretical,Count,Density (gm/cc),Crystal System
mp-600041,SiO2,"{'Si': 1.0, 'O': 2.0}",Cmce,-3.276,0.013,5.465,TRUE,1814.325,96,TRUE,,1.76,orthorhombic
mp-600014,SiO2,"{'Si': 1.0, 'O': 2.0}",Pnma,-3.276,0.013,5.729,TRUE,1350.553,72,TRUE,,1.773,orthorhombic
mp-639506,SiO2,"{'Si': 1.0, 'O': 2.0}",I212121,-3.276,0.013,5.655,TRUE,1327.155,72,TRUE,,1.804,orthorhombic
mp-600055,SiO2,"{'Si': 1.0, 'O': 2.0}",Amm2,-3.276,0.013,5.638,FALSE,3289.617,168,TRUE,,1.698,orthorhombic
mp-1249637,SiO2,"{'Si': 1.0, 'O': 2.0}",C2/m,-3.276,0.013,5.705,FALSE,3652.882,168,TRUE,,1.53,monoclinic
mp-600059,SiO2,"{'Si': 1.0, 'O': 2.0}",P4,-3.276,0.013,5.711,TRUE,867.891,51,TRUE,,1.954,tetragonal
mp-600028,SiO2,"{'Si': 1.0, 'O': 2.0}",Ia3d,-3.276,0.014,5.586,TRUE,2548.347,144,TRUE,,1.879,cubic
mp-705753,Fe38O39,"{'Fe': 38.0, 'O': 39.0}",P1,-1.683,0.014,1.391,FALSE,817.943,77,TRUE,,5.575,triclinic
mp-600083,SiO2,"{'Si': 1.0, 'O': 2.0}",Pmmn,-3.276,0.014,5.704,FALSE,3640.237,180,TRUE,,1.644,orthorhombic
mp-600071,SiO2,"{'Si': 1.0, 'O': 2.0}",Fmm2,-3.276,0.014,5.499,TRUE,2732.64,144,TRUE,,1.753,orthorhombic
mp-760323,Ce5O9,"{'Ce': 5.0, 'O': 9.0}",I4,-3.943,0.014,0,TRUE,210.853,14,TRUE,,6.651,tetragonal
mp-557004,SiO2,"{'Si': 1.0, 'O': 2.0}",P1,-3.275,0.014,5.581,TRUE,680.992,36,TRUE,,1.758,triclinic
mp-1250261,SiO2,"{'Si': 1.0, 'O': 2.0}",P6m2,-3.275,0.014,5.665,FALSE,1144.165,54,TRUE,,1.57,hexagonal
mp-1268079,SiO2,"{'Si': 1.0, 'O': 2.0}",P21/c,-3.275,0.014,5.674,FALSE,3976.455,192,TRUE,,1.606,monoclinic
mp-639734,SiO2,"{'Si': 1.0, 'O': 2.0}",I4/mmm,-3.275,0.014,5.451,FALSE,1842.122,96,TRUE,,1.733,tetragonal
mp-776890,Rb2O,"{'Rb': 2.0, 'O': 1.0}",Pbca,-1.107,0.014,0.938,TRUE,657.137,24,TRUE,,3.779,orthorhombic
mp-25234,CoO2,"{'Co': 1.0, 'O': 2.0}",R3m,-1.128,0.014,1.225,TRUE,66.423,6,TRUE,,4.547,trigonal
mp-1256614,SiO2,"{'Si': 1.0, 'O': 2.0}",P63/mmc,-3.275,0.014,5.76,FALSE,2182.475,108,TRUE,,1.646,hexagonal
mp-600023,SiO2,"{'Si': 1.0, 'O': 2.0}",Fm3m,-3.275,0.014,5.488,TRUE,2568.063,120,TRUE,,1.554,cubic
mp-560064,SiO2,"{'Si': 1.0, 'O': 2.0}",C2/c,-3.275,0.014,5.732,TRUE,2137.655,96,FALSE,,1.494,monoclinic
